id,group,group_at_test,date,height,mass,ift,x10m,x20m,dob,year,Maturity_offset,time_point,age_at_test,cutoff_year,season_start,age_sept1,age_group,max_force,rel_max_force,cmj_height,cmj_rsi,rj_ct,rj_height,rj_rsi
ETC05,u12s,NA,2024-08-29,155,51.4,17,2.16,3.81,2013-04-25,25_26,-0.07950768317454748,August 2024,11.35,2023,2023-09-01,10,u12s,1074,20.894941634241246,14.2,0.24,174,17.3,0.99
ETC05,u12s,u12s,2023-11-03,149.6,43.6,NA,2.08,3.69,2013-04-25,25_26,-0.9053308302981495,Autumn 2023,10.52,2023,2023-09-01,10,u12s,1040,23.853211009174313,15.8,0.31,170,17.9,1.06
ETC05,u12s,u12s,2024-04-05,153.4,47.2,16.5,2.19,3.9,2013-04-25,25_26,-0.41546680921127077,April 2024,10.95,2023,2023-09-01,10,u12s,1068,22.627118644067796,12.9,0.34,200,17.1,0.86
ETC05,u14's,u14's,2026-01-05,163.1,58,NA,NA,NA,2013-04-25,25_26,1.2287754918562095,Jan 2026,12.7,2025,2025-09-01,12,u14s,1511,26.051724137931036,18.1,0.29,166,18.9,1.14
ETC05,u12s,u12s,2024-02-16,151,45.5,NA,2.12,3.7,2013-04-25,25_26,-0.6384656011399423,Feb 2024,10.81,2023,2023-09-01,10,u12s,974,21.406593406593405,12.9,0.22,187,17.5,0.94
ETC05,u14s,u14s,2025-09-08,161.4,58.5,17.5,1.98,3.58,2013-04-25,25_26,0.9377167964901455,September 2025,12.37,2025,2025-09-01,12,u14s,NA,NA,15,0.25,172,14.5,0.84
ETC06,DS,u12s,2023-11-03,151,35.2,NA,1.96,3.45,2012-03-19,24_25,-0.49382902317131816,Autumn 2023,11.63,2023,2023-09-01,11,u12s,1008,28.636363636363633,24.1,0.38,152,24.7,1.64
ETC06,DS,u12s,2024-04-05,156.4,39,16.5,2.16,3.74,2012-03-19,24_25,0.12114732406544526,April 2024,12.05,2023,2023-09-01,11,u12s,1502,38.51282051282051,18.5,0.36,142,20.2,1.43
ETC06,DS,u12s,2024-02-23,154,38.6,NA,2.09,3.6,2012-03-19,24_25,-0.10018455215669608,Feb 2024,11.93,2023,2023-09-01,11,u12s,1149,29.76683937823834,21.3,0.33,178,23.5,1.31
ETC07,u13s,u12s,2024-02-16,160,41.5,NA,2,3.48,2011-11-01,25_26,0.6824924519125682,Feb 2024,12.29,2023,2023-09-01,11,u12s,1379,33.2289156626506,19.9,0.35,150,14,0.93
ETC07,u13s,u14s,2025-04-16,168.2,48.3,17.5,1.89,3.3,2011-11-01,25_26,1.852467087871138,April 2025,13.45,2024,2024-09-01,12,u14s,1644,34.037267080745345,26.8,0.5,181,24.7,1.37
ETC07,u13s,u12s,2023-11-03,159.6,39.2,NA,2.02,3.54,2011-11-01,25_26,0.4616994074846115,Autumn 2023,12.01,2023,2023-09-01,11,u12s,1067,27.219387755102037,22.8,0.48,149,14.9,1
ETC07,u13s,NA,2024-08-29,164.95,46.1,17,2.03,3.5,2011-11-01,25_26,1.263747491229081,August 2024,12.83,2023,2023-09-01,11,u12s,1322,28.676789587852493,25.5,0.42,158,17,1.07
ETC07,u13s,u12s,2024-04-05,162.6,42.6,17.5,2.04,3.59,2011-11-01,25_26,0.8709504707327222,April 2024,12.43,2023,2023-09-01,11,u12s,1408,33.051643192488264,19.4,0.34,155,15.3,0.98
ETC07,u14s,NA,2026-04-27,169.3,51.6,19,2.02,3.48,2011-11-01,25_26,2.5895556478147412,April 2026,14.48,2025,2025-09-01,13,u14s,1571,30.445736434108525,27.2,0.39,179,25.2,1.4
ETC07,u14s,u14s,2025-09-08,168.8,50.5,17.5,1.95,3.39,2011-11-01,25_26,2.1550182587112263,September 2025,13.85,2025,2025-09-01,13,u14s,NA,NA,28.3,0.48,187,25.1,1.34
ETC08,u13s,u12s,2023-11-03,156.3,41.7,NA,2.05,3.61,2011-09-16,24_25,0.33652646933840835,Autumn 2023,12.13,2023,2023-09-01,11,u12s,912,21.8705035971223,17.8,0.43,175,16.8,0.96
ETC08,u13s,NA,2024-08-29,157.7,46.9,16.5,2.01,3.51,2011-09-16,24_25,0.8562014569903,August 2024,12.95,2023,2023-09-01,11,u12s,1224,26.09808102345416,17.3,0.26,178,22.8,1.28
ETC08,u13s,u12s,2024-02-16,157,44.6,NA,1.99,3.53,2011-09-16,24_25,0.5583402594236186,Feb 2024,12.42,2023,2023-09-01,11,u12s,1136,25.47085201793722,19.6,0.35,184,18.3,0.99
ETC09,u13s,u12s,2023-11-03,149.3,32.8,NA,2.06,3.66,2011-10-09,24_25,-0.16811165884882895,Autumn 2023,12.07,2023,2023-09-01,11,u12s,787,23.993902439024392,18.8,0.43,135,27,1.99
ETC09,u13s,NA,2024-08-29,155.55,39.8,16.5,2.07,3.74,2011-10-09,24_25,0.6650558060673408,August 2024,12.89,2023,2023-09-01,11,u12s,990,24.874371859296485,20.6,0.3,139,19.1,1.37
ETC09,u13s,u12s,2024-04-05,152.3,35,16,2.11,3.79,2011-10-09,24_25,0.20948554653112084,April 2024,12.49,2023,2023-09-01,11,u12s,812,23.2,18,0.37,141,17.3,1.23
ETC09,u13s,u12s,2024-02-16,150,37.6,NA,2.08,3.62,2011-10-09,24_25,0.09729960043715707,Feb 2024,12.36,2023,2023-09-01,11,u12s,906,24.095744680851062,18.8,0.35,131,15,1.14
ETC09,u13s,u14s,2025-04-16,162,41.8,16.5,1.98,3.47,2011-10-09,24_25,1.4490814474249951,April 2025,13.52,2024,2024-09-01,12,u14s,1219,29.16267942583732,21.6,0.32,138,18.5,1.33
ETC10,u13s,u12s,2024-02-16,154,47.9,NA,2.24,3.96,2012-03-10,24_25,0.22212935256404776,Feb 2024,11.94,2023,2023-09-01,11,u12s,894,18.663883089770355,18.3,0.29,173,12.3,0.71
ETC10,u13s,NA,2024-08-29,157.5,49.1,15,2.16,3.83,2012-03-10,24_25,0.7510978514777111,August 2024,12.47,2023,2023-09-01,11,u12s,1025,20.875763747454176,18.9,0.33,186,16.7,0.89
ETC10,u13s,u14s,2025-04-16,162.1,48.6,16,2.16,3.76,2012-03-10,24_25,1.3443177013458434,April 2025,13.1,2024,2024-09-01,12,u14s,1181,24.300411522633745,21.3,0.31,224,20.2,0.9
ETC101,u12s,NA,2026-04-27,150.1,48.9,NA,2.07,3.67,2014-08-17,25_26,-0.2888791930518495,April 2026,11.69,2025,2025-09-01,11,u12s,1367,27.955010224948875,21,0.3,182,18,0.99
ETC101,u12s,u12s,2025-09-08,146.8,42.4,17.5,2.07,3.65,2014-08-17,25_26,-0.8730285232352274,September 2025,11.06,2025,2025-09-01,11,u12s,NA,NA,22.8,0.29,182,17.4,0.96
ETC101,u12s,u12s,2026-01-05,149.3,45.4,NA,NA,NA,2014-08-17,25_26,-0.554956024098358,Jan 2026,11.39,2025,2025-09-01,11,u12s,1287,28.348017621145374,23,0.38,185,20.4,1.1
ETC102,u12s,u12s,2025-09-08,152.4,51,NA,2.21,3.95,2014-05-08,25_26,-0.35257544060906953,September 2025,11.34,2025,2025-09-01,11,u12s,NA,NA,15.4,0.34,181,13.6,0.75
ETC102,u12s,u12s,2026-01-05,153.6,51.6,NA,NA,NA,2014-05-08,25_26,-0.11674744747260413,Jan 2026,11.66,2025,2025-09-01,11,u12s,1304,25.271317829457363,13.3,0.2,167,11.3,0.68
ETC103,u12s,u12s,2026-01-05,168.5,73.2,NA,NA,NA,2013-09-29,25_26,1.4030458616502557,Jan 2026,12.27,2025,2025-09-01,11,u12s,NA,NA,NA,NA,NA,NA,NA
ETC103,u12s,NA,2026-04-27,169.2,76,14.5,2.08,3.68,2013-09-29,25_26,1.6949446795809422,April 2026,12.58,2025,2025-09-01,11,u12s,1558,20.5,23.1,0.32,186,18.1,0.98
ETC103,u12s,u12s,2025-09-08,167.7,79.5,15,2.09,3.71,2013-09-29,25_26,1.220404200639025,September 2025,11.94,2025,2025-09-01,11,u12s,NA,NA,21.1,0.28,216,17.9,0.83
ETC104,u12s,u12s,2025-09-08,141.4,29.5,16,2.25,3.95,2015-02-24,25_26,-1.4309005650632622,September 2025,10.54,2025,2025-09-01,10,u12s,NA,NA,19.3,0.33,147,17.8,1.21
ETC104,u12s,NA,2026-04-27,144.1,31.7,14.5,2.25,4.04,2015-02-24,25_26,-0.8109532597994169,April 2026,11.17,2025,2025-09-01,10,u12s,782,24.668769716088327,16.4,0.26,169,19.8,1.17
ETC104,u12s,u12s,2026-01-05,143,30.6,NA,NA,NA,2015-02-24,25_26,-1.1192809270834378,Jan 2026,10.86,2025,2025-09-01,10,u12s,890,29.084967320261438,18.2,0.32,155,15.3,0.99
ETC105,u12s,u12s,2025-09-08,155.4,63.7,14.5,2.15,3.88,2013-11-27,25_26,0.21261697808439384,September 2025,11.78,2025,2025-09-01,11,u12s,NA,NA,16.1,0.3,168,11.5,0.69
ETC105,u12s,NA,2026-04-27,157.1,67,14.5,2.28,4.09,2013-11-27,25_26,0.6930082373316856,April 2026,12.41,2025,2025-09-01,11,u12s,1648,24.597014925373134,15.5,0.26,166,14.6,0.88
ETC105,u12s,u12s,2026-01-05,156.2,69,NA,NA,NA,2013-11-27,25_26,0.49787917111942503,Jan 2026,12.11,2025,2025-09-01,11,u12s,1729,25.057971014492754,14,0.23,183,10.4,0.57
ETC106,u12s,NA,2026-04-27,158.3,45.2,18.5,2.01,3.57,2014-05-08,25_26,0.32411421514888517,April 2026,11.97,2025,2025-09-01,11,u12s,1037,22.942477876106192,25.9,0.32,176,22.1,1.25
ETC106,u12s,u12s,2026-01-05,156.6,44.6,NA,NA,NA,2014-05-08,25_26,0.030359404611327356,Jan 2026,11.66,2025,2025-09-01,11,u12s,1380,30.941704035874437,19.1,0.26,211,15.7,0.75
ETC107,u12s,NA,2026-04-27,167.5,51.8,NA,2.09,3.77,2014-09-23,25_26,0.7450326772193818,April 2026,11.59,2025,2025-09-01,10,u12s,1215,23.455598455598455,19.1,0.29,184,18.5,1
ETC107,u12s,u12s,2025-09-08,164.8,48.1,NA,2.14,3.89,2014-09-23,25_26,0.14759598213219666,September 2025,10.96,2025,2025-09-01,10,u12s,NA,NA,20.5,0.26,195,17.9,0.92
ETC107,u12s,u12s,2026-01-05,165.7,49.2,NA,NA,NA,2014-09-23,25_26,0.43205106155830175,Jan 2026,11.28,2025,2025-09-01,10,u12s,1553,31.5650406504065,17.6,0.3,192,18.9,0.99
ETC108,u12s,NA,2026-04-27,158.4,55.1,NA,2.32,4.06,2014-05-09,25_26,0.4461207299018952,April 2026,11.97,2025,2025-09-01,11,u12s,1274,23.121597096188747,15.9,0.23,168,18.6,1.1
ETC109,u12s,NA,2026-04-27,159.6,45.8,18,2,3.57,2013-09-20,25_26,0.7653997685739347,April 2026,12.6,2025,2025-09-01,11,u12s,1251,27.31441048034935,19.9,0.28,191,20.1,1.05
ETC11,u13s,u12s,2024-04-04,161.7,51.8,14,2.155128205128205,3.7925,2012-08-09,25_26,1.932664893204069,April 2024,11.65,2023,2023-09-01,11,u12s,1309,25.27027027027027,20.6,0.34,163,18.3,1.12
ETC11,u13s,u12s,2023-11-03,159.1,49.4,NA,2.06,3.68,2012-08-09,25_26,0.22844064206137504,Autumn 2023,11.23,2023,2023-09-01,11,u12s,1056,21.37651821862348,19,0.3,157,16.4,1.05
ETC11,u13s,NA,2024-08-28,164,57.3,15,2.16,NA,2012-08-09,25_26,0.9997042212241884,August 2024,12.05,2023,2023-09-01,11,u12s,NA,NA,20.7,0.27,150,13.3,0.89
ETC11,u14's,u14's,2026-01-05,172,60.6,NA,NA,NA,2012-08-09,25_26,2.3233370644004445,Jan 2026,13.41,2025,2025-09-01,13,u14s,1838,30.33003300330033,20.5,0.29,153,21.3,1.4
ETC11,u14s,u14s,2025-09-08,169.9,59.8,17.5,1.95,3.5,2012-08-09,25_26,1.9921089264956326,September 2025,13.08,2025,2025-09-01,13,u14s,NA,NA,21.2,0.38,163,22.5,1.38
ETC11,u14s,NA,2026-04-27,172,61.6,NA,1.98,3.54,2012-08-09,25_26,2.513453926912073,April 2026,13.72,2025,2025-09-01,13,u14s,1884,30.584415584415584,21.1,0.35,156,35.5,2.29
ETC110,u12s,u12s,2026-01-05,147.2,39.2,NA,NA,NA,2014-09-02,25_26,-0.6832094510297813,Jan 2026,11.34,2025,2025-09-01,10,u12s,NA,NA,NA,NA,NA,NA,NA
ETC110,u12s,u12s,2025-09-08,146.2,39.5,NA,2.16,3.93,2014-09-02,25_26,-0.9539467650133077,September 2025,11.02,2025,2025-09-01,10,u12s,NA,NA,16.2,0.31,161,15.5,0.96
ETC110,u12s,NA,2026-04-27,148.8,40.6,14.5,2.22,3.94,2014-09-02,25_26,-0.4962317156531143,April 2026,11.65,2025,2025-09-01,10,u12s,943,23.226600985221673,17.5,0.26,162,16.4,1.01
ETC111,u14s,u14s,2025-09-08,161.4,55.7,16,1.89,3.4,2013-05-11,25_26,0.8657246826468236,September 2025,12.33,2025,2025-09-01,12,u14s,NA,NA,21.5,0.47,185,18.6,1
ETC112,u14s,NA,2026-04-27,156.6,49.4,18,2.11,3.7,2013-03-06,25_26,0.8946025388951343,April 2026,13.14,2025,2025-09-01,12,u14s,1433,29.008097165991902,19.1,0.21,163,20.4,1.25
ETC112,u14s,u14s,2025-09-08,153.5,45.8,19.5,2.04,3.61,2013-03-06,25_26,0.24940703066627756,September 2025,12.51,2025,2025-09-01,12,u14s,NA,NA,22.7,0.32,180,21.7,1.21
ETC112,u14's,u14's,2026-01-05,155.2,47,NA,NA,NA,2013-03-06,25_26,0.5916907437061146,Jan 2026,12.84,2025,2025-09-01,12,u14s,1530,32.5531914893617,20.2,0.24,167,17.1,1.03
ETC113,u14s,u14s,2025-09-08,161.7,63.1,16.5,2.05,3.56,2012-04-24,25_26,1.4608752695806007,September 2025,13.38,2025,2025-09-01,13,u14s,NA,NA,20.2,0.33,191,20.9,1.09
ETC113,u14's,u14's,2026-01-05,162,59,NA,NA,NA,2012-04-24,25_26,1.6242872094084198,Jan 2026,13.7,2025,2025-09-01,13,u14s,1723,29.203389830508474,23.4,0.35,188,21.8,1.17
ETC113,u14s,NA,2026-04-28,161.3,61.7,17.5,2.04,3.52,2012-04-24,25_26,1.8272415289201092,April 2026,14.01,2025,2025-09-01,13,u14s,NA,NA,22.4,0.41,176,23.5,1.33
ETC115,u14s,u14s,2025-09-08,163.9,51.7,15,2.11,3.73,2011-11-10,25_26,1.8505705822190257,September 2025,13.83,2025,2025-09-01,13,u14s,NA,NA,20.3,0.31,208,20.3,0.97
ETC115,u14s,NA,2026-04-27,165.8,52.3,16,2.09,3.73,2011-11-10,25_26,2.3623411420637512,April 2026,14.46,2025,2025-09-01,13,u14s,1268,24.244741873804973,21.8,0.3,186,20.7,1.11
ETC116,u16s,u16s,2026-01-05,168,50.8,NA,NA,NA,2011-04-20,25_26,2.616718643809521,Jan 2026,14.71,2025,2025-09-01,14,u16s,1796,35.35433070866142,21.2,0.47,166,15,0.91
ETC116,u16s,NA,2026-04-28,167.1,52,18,1.94,3.35,2011-04-20,25_26,2.741750046867595,April 2026,15.02,2025,2025-09-01,14,u16s,1799,34.59615384615385,26.5,0.41,175,24.7,1.41
ETC117,u16s,u16s,2025-09-09,178.1,83.7,14.5,1.99,3.56,2009-10-14,25_26,4.5423860926071695,September 2025,15.9,2025,2025-09-01,15,u16s,NA,NA,24.1,0.36,210,24,1.15
ETC118,u16s,u16s,2025-09-09,162.4,58.8,19,2.02,3.58,2009-12-27,25_26,2.9259327738843366,September 2025,15.7,2025,2025-09-01,15,u16s,NA,NA,22.2,0.47,173,26,1.51
ETC119,u16s,u16s,2026-01-05,159.9,51.2,NA,NA,NA,2010-09-23,25_26,2.3480587098501786,Jan 2026,15.28,2025,2025-09-01,14,u16s,1761,34.39453125,21.8,0.34,172,23.8,1.38
ETC119,u16s,NA,2026-04-28,159.5,53.4,18,1.97,3.47,2010-09-23,25_26,2.556042608987502,April 2026,15.59,2025,2025-09-01,14,u16s,1769,33.12734082397004,24.1,0.3,174,25.5,1.46
ETC119,u16s,u16s,2025-09-09,158.2,50.4,19,1.91,3.42,2010-09-23,25_26,2.079020642961673,September 2025,14.96,2025,2025-09-01,14,u16s,NA,NA,23.7,0.36,168,20.4,1.22
ETC12,DS,u12s,2024-02-16,122,25.9,NA,2.35,4.09,2012-12-08,24_25,-1.7691052275409846,Feb 2024,11.19,2023,2023-09-01,10,u12s,731,28.223938223938227,13,0.34,241,14.1,0.59
ETC120,u16s,u16s,2025-09-09,167,65.5,15.5,1.87,3.35,2010-09-03,25_26,2.915681303286031,September 2025,15.02,2025,2025-09-01,14,u16s,NA,NA,23.7,0.39,209,21.6,1.03
ETC120,u16s,u16s,2026-01-05,167.8,66,NA,NA,NA,2010-09-03,25_26,3.165769680519127,Jan 2026,15.34,2025,2025-09-01,14,u16s,2073,31.40909090909091,22,0.46,187,14.9,0.79
ETC121,u14s,NA,2026-04-27,157.8,47,15,1.98,3.55,2012-12-18,25_26,1.0633825055239852,April 2026,13.36,2025,2025-09-01,12,u14s,934,19.872340425531913,22.6,0.25,184,19.5,1.06
ETC122,u12s,NA,2026-04-27,141.1,31,NA,2.18,3.86,2015-01-19,25_26,-0.9256163366551854,April 2026,11.27,2025,2025-09-01,10,u12s,856,27.612903225806452,16.2,0.27,174,17.8,1.02
ETC13,DS,u12s,2024-02-16,150,43.3,NA,2.16,3.84,2012-05-18,24_25,-0.1967050016393455,Feb 2024,11.75,2023,2023-09-01,11,u12s,1082,24.988452655889148,18,0.38,218,18.3,0.84
ETC13,DS,u12s,2023-11-03,150.4,40.4,NA,2.17,3.82,2012-05-18,24_25,-0.46806230699395646,Autumn 2023,11.46,2023,2023-09-01,11,u12s,988,24.455445544554458,19.4,0.34,185,18.7,1.01
ETC14,u12s,u12s,2024-04-05,153.1,38.2,15.5,2.2,3.88,2013-05-29,24_25,-0.5664041665287258,April 2024,10.85,2023,2023-09-01,10,u12s,920,24.083769633507853,13.8,0.28,179,14.2,0.8
ETC14,u12s,u12s,2024-02-16,151,37.6,NA,2.1,3.68,2013-05-29,24_25,-0.6638559454738924,Feb 2024,10.72,2023,2023-09-01,10,u12s,751,19.97340425531915,14.6,0.32,175,17.3,0.99
ETC14,u12s,NA,2024-08-28,156.4,42.8,14.5,2.25,NA,2013-05-29,24_25,-0.15076313082339182,August 2024,11.25,2023,2023-09-01,10,u12s,1000,23.364485981308412,16.7,0.28,165,13.7,0.82
ETC14,u12s,u12s,2025-04-15,161.9,46.6,16,1.99,3.63,2013-05-29,24_25,NA,April 2025,11.88,2024,2024-09-01,11,u12s,1370,29.399141630901287,18.6,0.36,165,16.6,1.01
ETC14,u12s,u12s,2023-11-03,148.5,34.6,NA,2.09,3.78,2013-05-29,24_25,-1.0136223353065092,Autumn 2023,10.43,2023,2023-09-01,10,u12s,797,23.034682080924856,17.8,0.31,174,16.3,0.93
ETC15,u13s,u14s,2025-04-16,153,38.3,18.5,2.09,3.74,2012-02-10,25_26,0.611147737417493,April 2025,13.18,2024,2024-09-01,12,u14s,1059,27.650130548302876,19.3,0.26,122,21.9,1.8
ETC15,u13s,u12s,2024-04-04,145.4,33.4,16,2.25025641025641,3.998,2012-02-10,25_26,-0.43455641510740506,April 2024,12.15,2023,2023-09-01,11,u12s,907,27.155688622754493,16.9,0.25,129,21.4,1.66
ETC15,u14s,u14s,2025-09-08,153.9,41.7,17,2.02,3.67,2012-02-10,25_26,0.9274564254763744,September 2025,13.58,2025,2025-09-01,13,u14s,NA,NA,18.4,0.28,130,24.5,1.89
ETC15,u13s,u12s,2023-11-03,143,29.9,NA,2.23,3.97,2012-02-10,25_26,-0.7798929373418902,Autumn 2023,11.73,2023,2023-09-01,11,u12s,717,23.979933110367895,16.4,0.29,126,17.7,1.41
ETC15,u14s,NA,2026-04-27,155.2,44.9,17,2.03,3.63,2012-02-10,25_26,1.407058694934047,April 2026,14.21,2025,2025-09-01,13,u14s,1191,26.525612472160358,23.1,0.34,131,26.4,2.01
ETC15,u13s,NA,2024-08-29,149.1,36.5,17.5,2.15,3.83,2012-02-10,25_26,0.09845521054362771,August 2024,12.55,2023,2023-09-01,11,u12s,965,26.438356164383563,17.8,0.24,130,23.8,1.83
ETC15,u13s,u12s,2024-02-16,145,33.3,NA,2.21,3.95,2012-02-10,25_26,-0.4761205106387796,Feb 2024,12.02,2023,2023-09-01,11,u12s,924,27.74774774774775,16.9,0.32,124,19.6,1.57
ETC16,u14s,NA,2026-04-27,153.4,49.8,19,1.97,3.5,2013-04-23,25_26,0.5666938373534297,April 2026,13.01,2025,2025-09-01,12,u14s,1746,35.06024096385542,23,0.29,166,26.4,1.59
ETC16,u14's,u14's,2026-01-05,152,46.6,NA,NA,NA,2013-04-23,25_26,0.2402136462963229,Jan 2026,12.7,2025,2025-09-01,12,u14s,1612,34.592274678111586,20.7,0.23,184,23.6,1.28
ETC16,u12s,u12s,2023-11-03,136.4,32.6,NA,2.03,3.58,2013-04-23,25_26,-2.0306558717843677,Autumn 2023,10.53,2023,2023-09-01,10,u12s,774,23.742331288343557,20.7,0.28,139,21.9,1.58
ETC16,u12s,u12s,2024-04-05,139.4,35.2,NA,2.09,3.67,2013-04-23,25_26,-1.4605203756436258,April 2024,10.95,2023,2023-09-01,10,u12s,1018,28.920454545454543,22.1,0.22,188,23.9,1.27
ETC16,u12s,u12s,2025-04-15,146.6,41.5,17,2.06,3.6,2013-04-23,25_26,NA,April 2025,11.98,2024,2024-09-01,11,u12s,1257,30.289156626506024,22.3,0.28,170,22.4,1.32
ETC16,u12s,u12s,2024-02-23,138,34.6,NA,2.2,3.69,2013-04-23,25_26,-1.646427604319319,Feb 2024,10.84,2023,2023-09-01,10,u12s,915,26.44508670520231,21.9,0.25,164,23.1,1.41
ETC16,u12s,NA,2024-08-28,143.8,38.4,15.5,2.09,NA,2013-04-23,25_26,-1.0213897164343186,August 2024,11.35,2023,2023-09-01,10,u12s,1279,33.30729166666667,18.7,0.23,173,23.7,1.37
ETC17,u12s,u12s,2025-04-15,148.9,41.4,17.5,2.29,4.09,2013-03-28,25_26,-0.19411489290681422,April 2025,12.05,2024,2024-09-01,11,u12s,1236,29.855072463768117,16.5,0.3,179,13.7,0.76
ETC17,u14's,u14's,2026-01-05,152.7,46.8,NA,NA,NA,2013-03-28,25_26,0.4915968609842739,Jan 2026,12.78,2025,2025-09-01,12,u14s,1483,31.68803418803419,17.1,0.23,179,13,0.72
ETC17,u14s,NA,2026-04-27,153.1,47.6,17,2.29,4.06,2013-03-28,25_26,0.7002832146807613,April 2026,13.08,2025,2025-09-01,12,u14s,1398,29.369747899159663,16.6,0.21,180,15.3,0.86
ETC17,u12s,u12s,2024-02-16,143,36.5,NA,2.25,3.92,2013-03-28,25_26,-1.1740546968550585,Feb 2024,10.89,2023,2023-09-01,10,u12s,934,25.589041095890412,16.3,0.31,183,15.7,0.86
ETC17,u12s,NA,2024-08-28,146.5,41.4,14.5,2.42,NA,2013-03-28,25_26,-0.6872895494781455,August 2024,11.42,2023,2023-09-01,10,u12s,1127,27.22222222222222,14.8,0.22,183,13,0.71
ETC18,u12s,u12s,2023-11-03,156,49,NA,2.25,4.06,2013-05-16,25_26,-0.6159832990285841,Autumn 2023,10.47,2023,2023-09-01,10,u12s,1210,24.693877551020407,15.2,0.21,192,15.1,0.78
ETC18,u12s,NA,2024-08-28,160.4,54.1,14,2.23,NA,2013-05-16,25_26,0.19496169306610145,August 2024,11.28,2023,2023-09-01,10,u12s,1490,27.54158964879852,17.6,0.27,180,11.8,0.66
